image,report,label
archive/images/images_normalized\1000_IM-0003-2001.dcm.png,real_reports\1000_IM-0003-2001.dcm.txt,0
archive/images/images_normalized\1000_IM-0003-3001.dcm.png,real_reports\1000_IM-0003-3001.dcm.txt,0
archive/images/images_normalized\1001_IM-0004-1001.dcm.png,real_reports\1001_IM-0004-1001.dcm.txt,0
archive/images/images_normalized\1001_IM-0004-1002.dcm.png,real_reports\1001_IM-0004-1002.dcm.txt,0
archive/images/images_normalized\1002_IM-0004-1001.dcm.png,real_reports\1002_IM-0004-1001.dcm.txt,0
archive/images/images_normalized\1002_IM-0004-2001.dcm.png,real_reports\1002_IM-0004-2001.dcm.txt,0
archive/images/images_normalized\1003_IM-0005-2002.dcm.png,real_reports\1003_IM-0005-2002.dcm.txt,0
archive/images/images_normalized\1004_IM-0005-1001.dcm.png,real_reports\1004_IM-0005-1001.dcm.txt,0
archive/images/images_normalized\1004_IM-0005-2001.dcm.png,real_reports\1004_IM-0005-2001.dcm.txt,0
archive/images/images_normalized\1005_IM-0006-1001.dcm.png,real_reports\1005_IM-0006-1001.dcm.txt,0
archive/images/images_normalized\1005_IM-0006-3003.dcm.png,real_reports\1005_IM-0006-3003.dcm.txt,0
archive/images/images_normalized\1006_IM-0007-1001.dcm.png,real_reports\1006_IM-0007-1001.dcm.txt,0
archive/images/images_normalized\1006_IM-0007-3003.dcm.png,real_reports\1006_IM-0007-3003.dcm.txt,0
archive/images/images_normalized\1007_IM-0008-1001.dcm.png,real_reports\1007_IM-0008-1001.dcm.txt,0
archive/images/images_normalized\1007_IM-0008-2001.dcm.png,real_reports\1007_IM-0008-2001.dcm.txt,0
archive/images/images_normalized\1007_IM-0008-3001.dcm.png,real_reports\1007_IM-0008-3001.dcm.txt,0
archive/images/images_normalized\1008_IM-0009-2001.dcm.png,real_reports\1008_IM-0009-2001.dcm.txt,0
archive/images/images_normalized\1008_IM-0009-4004.dcm.png,real_reports\1008_IM-0009-4004.dcm.txt,0
archive/images/images_normalized\1009_IM-0010-1001.dcm.png,real_reports\1009_IM-0010-1001.dcm.txt,0
