image,label
D:\Desktop\gan_fake_dataset\gan_fake_6103.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6821.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1482_IM-0313-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2749.png,1
D:\Fake_images\combo\2503_IM-1028-1001.dcm.png,1
D:\Fake_images\blur\949_IM-2444-1001.dcm.png,1
D:\Fake_images\elastic\3416_IM-1651-0001-0002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\864_IM-2384-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2287_IM-0872-2001.dcm.png,0
D:\Fake_images\resize\208_IM-0711-1002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3756_IM-1880-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3834_IM-1937-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5576.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\705_IM-2268-2001.dcm.png,1
D:\Fake_images\sharp\1204_IM-0138-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1045_IM-0036-2001.dcm.png,1
D:\Fake_images\jpeg\2656_IM-1138-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\35_IM-1704-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1368_IM-0237-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6358.png,1
D:\Fake_images\noise\1094_IM-0065-2001.dcm.png,1
D:\Fake_images\combo\1233_IM-0157-1001.dcm.png,1
D:\Fake_images\resize\2448_IM-0983-1001.dcm.png,1
D:\Fake_images\jpeg\636_IM-2215-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5969.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2727_IM-1187-1001.dcm.png,1
D:\Fake_images\noise\1471_IM-0304-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5623.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3813.png,1
D:\Fake_images\contrast\1222_IM-0150-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1538_IM-0348-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1708_IM-0466-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\198_IM-0637-1002.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1688_IM-0450-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1504_IM-0330-1001.dcm.png,1
D:\Fake_images\jpeg\379_IM-1903-4004.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1501_IM-0327-1001.dcm.png,0
