image,label
C:\Users\pooji\Downloads\archive\images\images_normalized\3178_IM-1498-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3853_IM-1950-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2909_IM-1313-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1523_IM-0339-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1147_IM-0099-4004.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2222.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3122_IM-1467-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_963.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\844_IM-2367-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\487_IM-2110-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2854_IM-1262-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\710_IM-2273-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2716_IM-1181-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\901_IM-2409-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5241.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1254_IM-0172-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1175_IM-0119-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\368_IM-1832-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3001_IM-1387-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\773_IM-2318-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5828.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4078.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5117.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5712.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3807_IM-1917-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\903_IM-2409-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_401.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5568.png,1
D:\Desktop\gan_fake_dataset\gan_fake_889.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1560_IM-0366-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1754_IM-0494-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2739_IM-1193-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\636_IM-2215-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2942.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2731.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5622.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5326.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\457_IM-2088-1001-0001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\633_IM-2213-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4198.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2460_IM-0993-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1825_IM-0535-1002.dcm.png,0
